,summarization
908,"new hotel &quot; le roi' is a very good hotel with exccelent accomodation, good services and an exquissite cusine. i highly recommend you to go there if you stop in new delhi and go to the u.s."
909,hotel le roi has a very central location. the pool will be soon finished in this hotel so if you come there you'll have it probably!
910,the hotel itself stands out for the others in the area being larger although still relatively small. the staff are excellent and show much eagerness to assist you with any problem. The rooms see no fall in standards from the entrance and are very modern with plenty of marble and dark wood with a slight euro/oriental theme.
911,"the staff ordered food for us from outside and charged us 3 times the price. when it came time for a shower, one EACH night we had to ask staff to turn on the hot water so we could have hot shower. our bed sheets changed twice because they were blood stained and it seemed like the sheets were never changed from the previous occupants."
912,hotel legend is a budget property with not much else to offer. it was super cheap ($39 AUD per night) but the reviews were good compared to other properties we stayed in during this recent trip.
913,"hotel legend international looked impressive on their website but was a fairly average hotel. the location was fine - walking distance to restaurants but rickshaw ride to Chandi Chowk, fort etc."
914,stayed here on three occasions during the summer with my girlfriend and extended family who were in India for a wedding. the metro also stops here so it's good for getting around the city. there is no shortage of travel guys in Delhi so shop around!
915,"our first night in india arrived at 4am after a bus crew couldnt locate hotel. friendly staff,especially on the rooftop resturant, very pleasant rooms and great location and value."
916,"teh bathrooms tend to get hot during the day so remember to close it as you leave. there are two computers available for free internet access, one wasn't working when I was there and they actually let me use theirs in their little office! one night we had bought too many beers and shared some with some of the service guys- they thought we were fantastic!"
917,"the room was cheap--20£ per night--and overall a really good budget hotel. DOWNSIDES-there were always loiterers in the lobby and on the stairs...I didnt understand that. Also, there were loiters in hte halls,outside our room...ready for our beck and call."
918,"i booked the hotel from england, before travelling to delhi, as all previous reviews had been pretty positive. booked two trible bed rooms, which have one super kink bed and a single bed, and were ensuite. the whole stay cost me around £100, that includes airport pickup and drop off at the railway station."
919,"the rooms were quite small, but they are no smaller than those in hotels in other cities elsewhere in the world. the staff were very helpful. I would recommend this hotel."
920,"'Very hard sale' by the in-hous travel agent was annoying and worth avoiding at all costs. for what we paid, it really wasn't value for money."
921,this hotel was comfortable and very easy on my budget. it is located a short walk from the new Delhi train station and Metro stop - the street is lively so you may hear some noise but I was not disturbed by it. the online booking process was easy and accurate.
922,"new Delhi train station is 5 mins walk away, and they have an excellent facility for travellers to book train tickets. the hotel gives home to a rather sleazy looking fellow who will, almost as soon as you get in, try to sell you all sorts of tours, viewing experiences and assorted malarky."
923,"we rang and told them to pick us at domestic terminal but the driver didn't show up. the travel agent tried to charge us Rs650 for the non-existent pickup - after some arguing on two occasions we didn’t pay him. room was clean enough but there was no hot water and toilet did not flush, it just sprayed water from it's pipework across the bathroom floor. good thing about the hotel is it is only a 5 minute walk to new Delhi train station."
924,"the man organising trips/travel at the front was a bit pushy but otherwise the staff were ok, not overly friendly but not rude. the room itself was very comfortable and spacious, air con and bathroom were good.Would happily stay again.Also free internet in the lobby."
925,"hotel legend is one of the most popular &quot;budget' properties in the neighborhood. the rooms were pretty much as expected although ours had no windows, and service was acceptable. we had some items stolen from our luggage there, which included a small amount of cash, I miss the money clip more than the dollars. if you eat in your room, the other option is on the rooftop which has the atmosphere of an industrial air conditioner."
926,"this was my first experience of a hotel in india. the hotel was as advertised and had hot water as I was to discover many places said they did but actually didn't, it was reasonably clean and it even had toilet paper. staff were friendly, we were able to use the Internet in the lobby whenever we wanted."
927,"this hotel is really noisy (both the city and the staff are extremely noisy) and it feels a bit overpriced. it's also 5 minutes away from the train station, so the location is great, especially if you're getting an early flight."
928,"the travel guy in the lobby is definitely shady and will change his quoted price every time you talk with him. but if you bring up a price that you got at some other travel agency, he'll definitely move on his prices. breakfast is okay, but dinner is fantastic. I chalked it up to it being India and didn't let it bother me."
929,"the Paharganj market district is one of Indias must see attractions. the hotel is satisfactory in every way, clean rooms and good service. a good budget hotel."
930,"this hotel is so close to the shops of Paharganj, all the services are nearby. the rail station and Connaught Place are just a short rickshaw ride away from the hotel - it's clean, inexpensive, and the service is great. we'd recommend it to anyone!"
931,"the hotel is located in one of the worse locations in New Delhi! there was no hot water, limited amounts of toilet paper, the TV channels kept going and the noise from outside was so bad even ear plugs could not block it out. I would not recommend the breakfast, also the guy who sells the tours was very shady, kept changing prices?"
932,"the staff english was quite limited, and even upon arrival we were asked if we had any laundry. we even had a bellboy stationed outside our room and thought he didn't understand the word of danish, privacy was limited.Roomservice came to the immidiatly (after all, sat just outside) but they usually forced their way into the room, which was very annoying."
933,"stayed at the hotel in the first week of March with my wife and 3 yr old daughter. good clean rooms, decent food, average hospitality."
934,we booked to stay at the hotel legend for 3 nights in february. no-one from hotel was at airport and we could not get through on the phone. we eventually got a taxi and when we arrived at 2am we got another gentleman who just said they were full and to come back tomorrow with no apology or explanation as too why our booking had fallen through.
935,"the staff were helpful although sometimes pestered a little and although there is no restaurant as such the food is very good. the rooms are clean and spacious and have comfortable beds, tv and some have fridge."
936,"compared to others in this price range (1200-1500 Rs) the rooms are well furnished (very good mattresses), clean and safe (sturdy doors with good locks)."
937,"the Legend Hotel was booked for our first few nights in intimidating India. it's a little higher than our usual budget, but having an comfortable place to get over jet lag was worth it. the street is still pretty busy but the interior of the hotel was very nice."
938,"the international legend is a good choice because for 3000 rs you can find better place in that area. the hotel is very close to railway station but the area looks like Berlin after WWII. many people, very dirty streets."
939,"hotel booked through email. rate of 2250rs incl tax and breakfast for a super deluxe. the room itself dont quite feel like super-deluxe, but the window was tiny and gave no view at all."
940,the room was pretty clean and the staff were very helpful - there was always someone available to help out. on both visits we had to ask for the air con and hot water to be switched on.
941,"the hotel is very clean, the staff are very polite and nothing is too much trouble. the main point is that it is quiet, despite being in the middle of mad Delhi!"
942,"I and my wife stayed at hotel Legend, New Delhi for 3 nights in september. the room given to us was on 3rd floor and was clean and comfortable.the interiors of the hotel are real good (specially their 1st floor lobby)"
943,"the hotel price in Delhi is very expensive according to their level. the only problem is Wifi, there is no wifi, I have to go to the lobby to use Internet."
944,"i'd tried to book hotel ajanta close to hotel legend, but it was booked up. had room on the top floor, clean, spacious and quiet."
945,the hotel is not very clean. staff is ok. Near airport. dining room. but I would suggest finding a 3 star hotel. an Indian friend made the reservation for our departure next am. Wished he would have gone for better place.
946,"this hotel is very practically situated near the airports, so if you have an early flight (domestic or international), you won't have too much trouble. the rooms are quite spacious and fairly well equipped, and can be quite noisy at night due to the traffic on the highway just outside the hotel."
947,"I booked this hotel through Makemytrip. it was a nice hotel, and specially recommended for people travelling through airlines - it is close to both airports (Domestic &amp; International)."
948,"a total of 4 reviews, 2 of them mentioned filthy sheets/stains. it was the true reason why I chose this hotel, which was so close to the dehli airport, that we only had to stay in the hotel for several hours."
949,"hot water in bathroom sink began to work, but not in shower so we had to transfer water to shower to take ladle shower. this is a terrible hotel--you would be better off at some hostels."
950,"the hotel is pretty good located if you have an early morning flight. the rooms are well-sized, the beds ok, but staying their in the winter is extremely cold and draughty (no heater)."
951,"the hotel is on a highway that runs along the airport, but is about an 8-minute ride from/to the terminal. the first room didn't have the hot water it was supposed to have, and staff promptly upgraded me from Deluxe to Suite, for no extra charge."
952,"the room was big, clean by Indian standards, and there was hot water in the shower. a taxi to central New Delhi should only cost about 200 rupees from here - if you are arriving or departing from the airport at an inconvenient hour. the reception staff were friendly and welcoming even during the night when we arrived, but beware of pre-paid taxi fares."
953,three agressive bell boys insisted on helping with our two bags upon jet-lagged arrival and all wanting tips. had trouble with AC. Breakfast adequate. Desk staff helpful. Don't stay here unless you have to. Not 'a good experience'
954,"the hotel is situated on a good location, not far from anything if you have driver. the staff was very helpful and friendly! we also got to know hotel owner mr. Naresh (Pintoo) when we wanted to book train tickets for Agra. he advises and organizes 13 day trip through Rajasthan with car, driver, hotels, and guides in some of the cities."
955,the hotel Madonna is clean the staff is somewhat efficiant and they all want to make your stay as happy as possible. it is highly recommended for a comfortable and easy stay in New Dehli!
956,direct communication with the owner wich can tell you a lot about india. if wanted he can arrange for fixed prices day trips and you'll be treated like his guest all the way.
957,"my wife and I stayed at the hotel Madonna on three separate occasions while traveling between other cities in India. we really liked the night manager, Tripathi and our taxi driver, Kashmira. they were fantastic and generous and made our stay a very nice one."
958,"Found staff and owner, Mr Naresh, to be very helpful and really enjoyed the tour organised by the hotel to Agra and Jaipur. will definitely recommend."
959,stayed for 2 nights whilst we did the taj and delhi sightseeingthe hotel arranged for our pick up at airport everything went very smoothlywe did tours thro the hotel and they were worth every penny driver was excellentonly problem not many places to eat around.
960,"Mr. Naresh provided us excellent services, being very professional and a nice human being making us feel like at home. he was able to provide us great services and was very helpful and made us look like home."
961,this hotel was a good clean hotel right in good location to the main attractions of Dehli. the staff were brilliant and very helpful and polite.
962,"the hotel car and driver (complimentary) was waiting for us at the airport complete with sign. Naresh also arranged the same driver for our tours of Delhi, and Agra over the next two days."
963,"when we arrived they told us to go here so we got cab and arrived at the hotel. they said were out of triples sp we will upgrade you to a suite, so the room was so-so, with hot showers, refrigerator and refrigerator. at night there were street noise and one mourning outside our hotel there was an parade at 6 p.m."
964,the hotel was comfortable and clean and provided everything we needed including a brilliant sightseeing tour of dehli and then the key highlights of Rajasthan. the staff were the best and had an warm personnality.again this was awesome so much so we stayed there once we returned from our Rajasthan tour.
965,the hotel is ideally situated to travel in and around Delhi as well as a good departure point that does not get too involved in the hustle and bustle of the traffic congestions.
966,"the hotel was clean and quiet, but what we liked most about the place was the staff, who were not only helpful but genuinely friendly. the owner, Mr. Naresh Bhattia, was also able to provide advice and services for travel in his part of the country, which for us meant Agra, Jaipur and Pushkar."
967,"the hotel was nice and clean. the services were excellent. people were very helpful, when you need something the were always there.the only thing need to be upgraded is the shower."
968,"the hotel Madonna is in my experience a good choice, with very helpful and friendly staff. this is the second time I have stayed here, and the manager even has spare GSM card for emergency guest use, if the connection fail (which it did not do during my six day stay)."
969,"we booked our stay at Hotel Madonna through Expedia, prior to consulting a print travel guide on India. the hotel staff were unable to get their computer running Windows 95 to work--they just kept checking the cables and turning it off and on. there are much better places to stay in Delhi."
970,the hotel madonna has been a customer since last three years. it was the first time that I visted india I was not familiar with india. i was along with my wife and were in India for her treatment purpose. the owner was alwayse asking if we need his help in travel inside India.
971,"we stayed in hotel Madonna for the major part of our stay in India. in between, we made a trip to Jaipur and Agra organised by the hotel. hotel looks very good, nice clean rooms and good facilities. breakfast at any time, and close to the metro and central places in Delhi."
972,"we were warmly greeted at the airport,by hotel driver no charge.,Taken directly to hotel. escorted by the bellman [Sanjay] to my room which was immaculate and very clean with all western amenities including A.C. staff was very accomodating any requests I had were fufilled,even when I left hotel I was offered a hotel business card, Staff was always concerned and wanted to make sure I always knew the way back."
973,"we had contacted the hotel a few days before, that we would need to be picked up from the train station at 10.30pm. hotel told us to get any taxi and they would cover the cost of the taxi - but the manager who was very rude tried to argue with taxi driver and try to pay us the same day when wanting to check out. by now all we wanted to do was go to bed. when we finally got to the room it was horrible!!! Large ants all over the floor, dirty bathroom, no towels and rubbish"
974,"a colleague recommended me hotel Madonna and was very happy with the choice. the hotel arranged the accommodation, airport transfer, and tour programme with personal driver, tour guide and travel guide."
975,"rooms were dirty, staff was unfriendly. rooms weren't clean and dirty. room was dirty and clean. staff were un friendly."
976,"the rooms have carpet which is filthy and carpet anywhere in India is a bad idea. staff were friendly enough, breakfast staff had very limited english and the breakfast was very average."
977,was picked up at the airport and taken to the hotel...delightful!!Check-in was quick and easy. the owner was in thelobby..a nice gentleman. he made arrangements fora car to take us to Agra.
978,"hotel Madonna in Delhi was very convenient to all Delhi landmarks. hotel staff were great, literally waited on us hand and foot and arranged all our trips, which included Agra and Delhi sights. the owner send us two boxes of biscuits each, that was six boxes for three people, i was impressed!"
979,"arrived in middle of night by taxi, very expensive rider, operator did not have reservation, put us up in room, dirtY, smelly, slept on top of bed. had help with luggage, but wouldn't leave until tipped well! supplies were limited to a little toilet paper, no soap, one wet towel.checked out early, they do not take credit cards...what we were told, only cash...I paid $60 and friend paid $100 only bills we had on hand."
980,"the staying was nice; it was a clean place. but especially, Naresh, the owner, made our days in Delhi 'a safe, really nice trip'"
981,"the Madonna hotel was reserved for us by a travel agent, reputedly an 3* hotel. we arrived late at night (2am) and there were thankfully people awake. two guys brought our bags up, and stayed in the room until they tipped."
982,"i've stayed in 8 hotels here at the budget level, and TripAdvisor was useless. the madonna staff was always trying to discourage you from talking to others about your travel needs. a sweage smell and the constant din from the street are the two things to be wary of in delhi hotel room."
983,"stay at the hotel Madonna, ideal location to see the real Delhi. clean and safe hotel by Delhi standards and the food was acceptable. a tip of less than 100 rupees is probably more than enough for carrying your bags to the room."
984,a decent Delhi hotel near the metro (5-10 minute walk) so accessible to much of the city. the staff was helpful but not friendly. also not particularly attentive. breakfasts were good and the one dinner I had was very good.
985,the rooms were very comfortable and service excellent. we were also able to avail ourselves of the excellent service of Naresh Bhatia in organising a driver toshow us the sights of Delhi and tour of Agra and Rajasthan for 12 days.
986,"our first and final 2 nights were spent in Delhi were we stayed at the hotel Madonna. despite being warned it would be difficult to find good hotels in the country, we struggled for an option of hotels within our price range. at about 2am we were warmly welcomed by the night manager and 2 people assisted with our bags."
987,"we recently stayed at this hotel for 4 seperate nights. the hotel room itself seemed clean and bug free, although the sheets were very stained. both toilet paper and towels were both in shortsupply, with just one handtowel supplied (on one occassion this clearly hadn't been changed as it was dirty and wet!)"
988,"the hotel in general is clean, the restaurant underground does have an odor and the helpers are very nice. the location is not too bad, 4 blocks away from subway/metro station."
989,"a very good hotel in Delhi, with clean rooms,excellent service, friendly and helpful staff. the hotel manager, Mr. Bathia was so friendly top arrange for usn an wo9nderful trip to Agra Pushkar and Jaipur, offering us for the best price hoytels of good standards and also helping us with the transport along all my stay."
990,"hotel Madonna is out of the way and the neighborhood is truly India - loud all the time, with plenty of honking to keep you awake at night. compared to the place we stayed in Bombay (thicker walls), this was like sleeping in a rock concert. the bed was uncomfortable, the bathroom was fairly grungy."
991,"the owner, Mr. Pintoo, helped me to reach every place I wanted to visit. the hotel is located near the metro, so very usefull to see the city. I'm going back in a few months, can't wait!"
992,"this hotle is locted colesed to the market place and suitable to go for site seeing. it's very clean and the staff are so kind to guests.thank you so much for evey thing, India will be our second home after Ethiopia."
993,"Delhi is a pretty hard place to get accomodations under $100 that are reasonable. hotel Madonna is not so bad, at $81 including taxes and breakfast, and the manager was very good at making reasonably-priced car and travel arrangements for us. the area is also nice, as there aren't many tourists around to attract touts &amp; beggars."
994,"the people were nice enough, but I got the sense that they would try to deceive me. at check-out time, they tried to overcharge me, and they quickly rectified it. the breakfast is included - but nothing special. The dining room is subterranean and smelly."
995,"the tripadvisor reviews for this hotel seemed okay so we booked this for 4 nights via internet. the hotel was 500R+ cheaper than poorer sounding alternatives in Connaught Place. also Karol Bagh market area, wih indian and western restaurants, is only 10 minutes walk, as is the metro station that provides a pleasant alternative to bargaining fares with rickshaw drivers."
996,the hotel was good but the restaurant was of poor standard every time you entered it smelt really bad; hygine was not of top of the list. tour organisers were good and we enjoyed the tour. our room was clean but basic. if you visit delhi be aware of profit making scandles your guide and taxi driver are usually in to make some money. we came across this when our guide would not let us go where we wanted to go and forcing us to buy things that we did not want
997,"the location is by Karol Bagh station, which is convenient to get to various places (Old Delhi, Connaught Pl., etc.). room was very clean, but if you can you should try and get a room in the back."
998,"there is a lack of mid-range hotels in India, there seems to be only $20-$25 hotels. the Madonna is under the same ownership as one 100m away which is not part of the Intl group."
999,"the bathroom suite was black and the bath itself was peeling and a safety hazard. the toilet had one of those'sanitized for you convenience&quot; labels on it which was joke as it was not clean.the shower curtain was filthy.Breakfast was OK.with regards to the new wing mentioned by the previous reviewer, I don't think this is being marketed as part of the Mehar as its looks from the photos in the different league.I would chose not to stay"
1000,"the new hotel wing is just adjacent to the Mehar Castle, in Karol Bagh. the hotel is all new, with relatively generous, classy, ensuite rooms, tiled flooring and modern style furniture with latest appliances (a/c, TV, ceiling fan, fridge, safety lockers, etc.)"
1001,"the cold shower is not something i would complain about since I didn't get it at 8 of the 9 hotels I stayed at. it's not the safest area to start out in, but you can get good bargains, and it’s close to the metro. the phone in the room is on a rotary dial system."
1002,hotel provides good hospitality.we were provided with a family room which had two double beds. the room was perfect for my wife and my two children.
1003,"my wife and I stayed in Room # 208 (Double Deluxe Room at INR 1690/night, as advertised on their web site) the room is located within 5 minutes' walk to Karol bagh metro station."
1004,"I have stayed in many hotels in india, metro Heights was the best of the hotel especially in karol bagh area. the staff is friendly,the rooms were clean and well decoated with a big L.C.D."
1005,"the staff who actually did the work were lovely. but the management were dreadful and couldn't have cared less when we arrived back after travelling for 23 hours to find that, even though we were pre-paid, they'd put someone else in our room and we had nowjere to stay!"
1006,metro Heights had to offer us in delhi near the metro sation. we reached Metro Heights at middle of the night and had our confirmed bookin so were checked in and found a decent accommodation in what we had paid ($70 usd)
1007,we were greeted at the reception nicely and were checked in. staright went to the bath room and had nice hot water shower(i was not sure i would get hot bath) the food took some time to come as we was ttold that it is cooked fresh.Food was good set up and decent enough considering it was in the package as complimentary.MOST imp. Part of our stay was that the hotel was clean and safe for family.
1008,"we stayed at the metro Heights as part of an organised tour. but the hotel wasn't the worst in india, but that is not a lot. the room itself was reasonably clean (including the bathroom), and there was enough hot(tish) water, although the bathtub was cracked so that only showering was possible."
1009,hotel Metro Heights was fine but not great value for money. staff were largely unhelpful and the included breakfast left a lot to be desired. cost approximately RS 2600 which I would say was daylight robbery for the level of service provided.
1010,"the hotel offers room for 75 usd, but books through agents for only 20. staff-sideentrance is open at all times, so no security on all floors."
1011,there are many hotels in Karol Bagh so just go to one of the others and check out the rooms. avoid this place if possible.
1012,"the two new rooms were bad compared to 111. one room had the smell of sewage. the front desk refused to provide air conditioning. we chose not to support this behavior by staying here again, and we moved next door to the Hotel Singh Sahib."
1013,"hotel staff are unfriendly, and un co-operative, especially towards females. only stay here if you must or it is part of you tour package."
1014,staff on the counter delivered service that was akin to that of Faulty Towers. they asked for clean towels which arrived after 90 minutes and an additional request for an extra bed in the room took two hours. to get the attention of the staff was an exercise in patience where we had to wait for them to stop watching the telly in lobby or stop chatting to their friends who would often drop by for social visit.
1015,"metro Heights is sort of best-you-can-get in the lower price range (up to $ 75) in Delhi. breakfast consist of hot Indian dishes, toast and coffee/tea, a number of Dutch travel groups use the hotel, I think because they can't find anything better in that price bracket too."
1016,"the hotel Metro Heights, in Karolbagh, was our base in Delhi during our 3 week trip to India. it's within walking distance of the shopping areas, which is a bonus if you are into shopping. the rooms are okay."
1017,"the hotel is decently priced and closer to the main shopping strip in Karol Bagh. the suites are around $75 including breakfast and are quite large - the service has been better than other hotels and when the internet access was not working, they called someone in on a Sunday to check it out.i would stay here again again."
1018,we chose this place to be near the train station as we flew in at midnight and needed to catch a 7am train. the room was small but he A/c worked and the twin beds were clean and not too hard. only problem was that we couldn't find the hallway lightswitch and it was dark trying to leave the hotel!
1019,"if you're thinking of staying at this hotel, please don't. the hotel itself was down an alleyway, but I guess a lot of Delhi hotels are. The room was good size - but even though the sheets and pillowcases had been cleaned, they certainly didn’t look it. i'm not sure what to expect from the mohan international, it's an understatement, and just underlines how little the Mohan International thinks of their guests."
1020,"we stayed at the hotel mohan international this month for one night. the room was very basic and clean, but it was clean and stains on the sheets were very weird. I wouldn't recommend this hotel to women travellers (as we were), as there were times when we felt quite uncomfortable."
1021,"the guy who worked the front desk was horrendous when he asked me why I didn't order room service. when I tried to book a taxi to the airport, the driver charged me double what we paid on our way in. the hotel is very noisy, and the free &quot;breakfast' was pretty disgusting."
1022,"the underside of the basin was covered in rust. there are no bedsheets to sleep under, just these rugs - not sure if they're washed regularlytoo. If you get a ground floor room don't expect to wake until late! noiseof buzzers (for people calling from their room) and voices through thelate evening and early the next morning make it very difficult. and they give the hard sell on getting you to visit their travel agent."
1023,the hotel is very basic and the cleanliness leaves a lot to be desired. we paid 15 UK pounds per night as we wanted our first few nights accomodation sorted out before we arrived but with hindsight there are many similar hotels in the area which are much cheaper if you just walk in off the street.
1024,"airport pickup didn't show up, but 2 hours late. the manager kept stalking me on the hotelroom phone about tours he wanted to sell, they staff were almost agressively pushy about arranging city-tours."
1025,"there are atleast 50 other similar hotels around this one and you don't need to book this online. if you are looking for this price range, simply get off the train at the main station, walk around, ask to look at room and bed sheets before you select one, BUT DON&quot;t GO WITH HOTEL MOHAN. its dirty, noisy, expensive, and not worth the hassle. front desk is not helpful. I got this hotel from another site and based on the listing, I figured it"
1026,hotel is located at the MAIN TRAIN STATION area which is a full 8 minutes by TAXI and quite dangerous area even in the daytime. hotel club (20 euros night) charges OUTRAGEOUS for Delhi for this type of hotel and shameful considering the condition. the cleanliness factor was overlooked as the sheets were SMEARED with dark substance I chose not to closely investigate and requested new sheets.
1027,"the hotel was clean, the loos flushed and the shower/fan and a/c worked. on arrival we felt we were stuck down an alleyway in an grotty part of town, it turns out most of Delhi looks like this, but it takes 'a bit of getting used to to'"
1028,"i wish we had paid a little more and stayed somewhere better. the room was horrible, the bathroom was filthy, we arrived to find cigarette butts in the toilet, sheets where dirty, cockroaches, etc."
1029,"dirty bathroom, fan was so loud that we cant sleep, dirty bed-clothes. driver didn't want to show us where the hotel is without a big tip."
1030,"hotel Namaskar has just 2 pluses: first - its really cheap (480 rupee per room for four people)second is great location. was really hot, fans are not enough, our room didnt have windows, bathrooms are owful. next time in new delhi we will choose sth different."
1031,"the airport pickup worked perfectly for the price of quite expensive 700Rps (and the driver wanted a big tip) the rooms were budget, no hot water, accordingly not perfectly clean rooms."
1032,"I stayed at the hotel Namaskar when I first arrived in India on the 25th January. it was my first experience of Indian driving! on arriving in the bazaar, the car had to park a bit away due to the road being dug up, but the driver carried my bags to his hotel for me. the staff were very friendly and the young Nepalese boys were great, and counter staff could not have been more helpful."
1033,"I would pay extra Rs150 for a room with private bathroom, hot showers, new, clean &amp; comfortable at Hotel Gush or Rak International (neighbours)"
1034,"rickshaw operator knocked on the door and told the hotel that the room was booked. the owner came in and let me have room 2 hours early, but he said the usual charge for early check-in was 1/2 what I was quoted by the guys when I arrived in a hotel room. if you get the larger room with the water heater, you will pay 400 rupees for it until noon."
1035,"we booked the hotel for its price and reccomendation of guidebooks. the area of Paharganj is not the best in Delhi, so if you want anything remotely fancy don't stay here."
1036,"the hotel is located in the Paharganj, in an alley just off the main market street. it is walking distance to the metro (Rama Krishna Ashram Marg station) and one metro stop away from Connaught Place. the windows were blacked out, but I could hear the street noise and the heavily polluted street air made its way into the room."
1037,this hotel Namaskar is the first on top of the budget hotel list. the problem of accomodation being recommended by Lonely Planet is that the hotel will tend to be over booked or over popular.
1038,"rooms are cheap, relatively clean but very basic. the staff and especially the two brothers are extremely helpful and can arrange for tours at very reasonable prices both in Delhi and wider India."
1039,"the people of the hotel can take you from the airport, even during the night, for 400 rupies (8 euros) they can book a taxi for you, and many other things."
1040,hotel is average. location is midst of Karol bagh the populated area of Old Delhi. close to many places though. we stayed here as we needed to visit US Consulate for an interview. room was very good though no balcony. AC was good. Had a problem with the bathroom lock. Got locked out from inside. Bathroom has new jacuuzi but it was not that effective and was malfunctioning.
1041,"i went to Delhi for a tour with my family consisting of 3 members. we had booked rooms in an other hotel but we reached late at nite coz of the big traffic block in delhi. the other hotels people said that the room was not available at the hotel and that they have arranged room in the nearby hotel. it was very small and very conjusted.we could hardly move around...the bed spread, linens etc were so untidy and he think it hadn"
1042,my voucher for the room was deemed meaningless. a reservation at the hotel might be honored if no one else takes your room before you arrive.
1043,"a hotel like this should be less than US$10, not more. it's not like the pictures at all, but the rate for the hotel should not be more."
1044,i booked my hotel from the website and made the payment of ther. the hotel website is [--] and it is 'value for money' and ppl say that that it's value for cash but he will say it was more than value of money one difficulty it experienced was that tv cabel was not working for 2 hour or so but later corrected it so a recamend each and everyone to visit this hotel and the site is'
1045,"'you *would* like a package tour to the Taj Mahal in Agra,' he says. the hotel has free wireless internet and is based in the u.s. but it's not legal tender if they're ripped - and this bill was ancient, but intact--not actually ripping. i'm 90% sure this guy brought the bill back because it was old, and of course since I didn't have any other small bills of the same denomination, I did give him"
1046,I got hotel booked from my indian partners &amp; this is the worst hotel I've ever stayed in. everything from the service to the rooms was just terrible. check In system was horrible!
1047,stayed there for a week. Great service. Awesome staff! Rooms are 5 star standard. Definitely you will get value for money to stay here.
1048,we stayed only one night and our room was close to the reception. all the noise from the hall way and reception could clearly be heard all night. also there were some cat fights under the window providing more noise. try to get a room far away from reception and/or wear earplugs.Eevrything else worked OK.
1049,"Connaught Place itself is undergoing extensive restoration, so there is quite a bit of mess in the area. only trouble with the hotel is that is no lounge area for friends to meet, but you can use the restaurant for this purpose without difficulty."
1050,"Greeting was pleasant, room was small but clean and well appointed. location was so central for that part of Delhi with plenty of shops, clubs and restaurants within a few minutes walk. there was some noise, perhaps from the cinema, but it wasn't unbearable."
1051,the staff were very attentive and our room was exceptionally clean. the hotel was also kind enough to store one of our bags for a week while we visited some cities in Rajastan.
1052,"our booking confirmation from hotels.com came through and my husband's credit card was charged the full amount. the hotel was booked for 2 nights and was refunded nearly three weeks after the incident, despite a lack of room available for us to stay in. if you book this hotel through this site you too may end up in our predicament, having to pay for your room that you are unable to staying in and with weeks of trouble trying to recover the money in vain!"
1053,"the rooms inside are great, with a modern and clean decor, flat panel TV, and bathroom. the location is perfectly central, there are loads of shops, restaurants and ATMs when you step out of the hotel. all staff, from reception to housekeeping, are very courteous and helpful."
1054,"i visited Delhi as a tourist with my spouse and young kids. I chose this hotel based on other reviews. the location is perfect and rooms were very clean and comfortable. bathroom was immaculate. most site seeing locations are closer to this place and central park, Metro station is right there. restaurant is also fabulous. Overall very nice experience and would recommend with high ratings. Free wireless internet service."
1055,"the hotel is very central. the staff were extremely helpful, even to the extent of accompnaying us to find an ATM which worked. a ATM was working and the ATM worked and was able to get an sam - if it worked, it was an expensive hotel. it is worth it for the restaurant and its central position."
1056,"the hotel is very small and with no street frontage to speak of, taxi drivers may not know where it is. rooms are well appointed and confortable, although a bit on the small side. the AC can be aggressive and in our room we were forced to turn it off during the night so as to avoid being too cold. internet worked fine and was reasonably fast."
1057,"the hotel was modern and very clean and it was a good escape from the hot temps outside. staff was friendly and helpful and we met the owner one night who was also very pleasant and accommodating. breakfast is included and there were both western (eggs, pancakes) options and Indian options. there isn't much to see in Connaught Place, but many restaurants in walking distance."
1058,"the receptionist made it come in less than 5 minutes 8after I've waited half an hour in vain. the staff was very friendly and tried to help in every way - from access to internet, to phoning at the agency where I booked an ac-cab for sight seeing tour that didn't show up."
1059,"stayed in india three weeks visiting Rajasthan, Uttar Pradesh, west Bengal and Mumbay. the staff of the hotel is extremely friendly and efficient, making you feel at home (if not even better!)."
1060,the car and driver was over priced and had barely working A/C. the staff at the hotel also told us differing info on how much things were going to cost and Monday through Friday the electricity goes on and off every so often.
1061,we stayed two nights at Hotel Palace Height. the hotel is expensive for the size of the room &amp; bathroom we had.
1062,"the hotel is small, but very well kept, and clean. the wireless internet used to be problem. but they have fixed it. The food in Zaffran is excellent... the breakfast is to order... and always prepared well. They cater to a lot of foreign tourists."
1063,"we landed in Delhi and stayed the night before leaving elsewhere. our first night was awesome. the room was small, but adequate. it was nicely decorated and clean. no complaints. when we returned, the staff apologized,but that was about it. It was hard to believe this was the same hotel.It wasn't cheap either. we paid $183.00 Cdn through Expedia, not good value for the money."
1064,"the service here was excellent, particularly in the restaurant. the rooms are very modern and the bathroom had a good shower. breakfast is included with the rate and has good choice and decent buffet."
1065,"the hotel is better than an 'average 3*' rating but not good enough. the service was good and the rooms are clean, if a little on the small side."
1066,"the hotel was the cheapest (£98 per room per night inc breakfast), the nicest and the best placed hotel of the lot! the staff were great and very helpful. the room was lovely, clean and well equipped."
1067,palace Heights is located on the inner circle of connaught place. it is a small property with 15-18 rooms only and is situated in the second floor of the city centre. the staff at the entrance are friendly and ever welcoming.
1068,the room we stayed in was clean and with all the amenities you would expect. the location is great for getting a feel for Dehli although I would warn you not to stray too far off the beaten track.
