,summarization
972,"We were warmly greeted at the airport,by hotel driver no charge.,Taken directly to hotel. Greeted by Mr.Singht at the hotel manager, asked if I wanted dinner. After dinner was escorted by the bellman [Sanjay] to my room which was immaculate and very clean with all western amenities."
973,"We were told to get any taxi and they would cover the cost. When we finally arrived at the hotel, the manager who was very rude proceeded to argue with the taxi driver and try to get us to pay. He tried to do the same the following morning when wanting to check out."
974,Hotel Madonna was recommended by a colleague on a business trip to India. The accommodation was of good European 3-4 star standard. The hotel also arranged my tour programme with the personal driver.
975,"Rooms were dirty, staff was unfriendly. I know I shouldn't expect much but it didn't fulfill the lowest standards."
976,The hotel is located on a busy street in the heart of Delhi. The rooms have carpet which is filthy and quite frankly carpet anywhere in India is a bad idea. The breakfast staff had very limited english and the breakfast was very average.
977,was picked up at the airport and taken to the hotel...delightful!!Check-in was quick and easy. Enjoyed the complimentary cookies every evening! Would certainly visit again.
978,"Hotel Madonna in Delhi was very convenient to all Delhi landmarks. Staff were great, literally waited on us hand and foot and arranged all our trips, which included Agra and Delhi sights."
979,"Arrived in middle of night by taxi, very expensive rider, operator did not have reservation, put us up in room, dirtY, smelly, slept on top of bed as someone had already slept on sheets. Had help with luggage, but would not leave until tipped and tipped well!Bathroom was very small, you could, sh_t, shave, shower all in one position as you could not do anything else! Supplies were limited to a little toilet paper, no soap, one wet towel.Checked out early, they do not take credit cards...what we were told, only cash."
980,"The staying was nice; it was a clean place. But especially, Naresh, the owner, is a greatly wonderfull friend that made our days in Delhi a safe, really nice trip."
981,"The Madonna hotel was reserved for us by a travel agent, reputedly a 3* hotel. The rooms were a bit grungy, the bathroom definitely a mess, although the shower was allright (warm water wise) The beds very very hard, and the rooms incredibly noisy."
982,"You can get a decent room, with some work for 30$ a night in Paharganj, which is more central than the madonna. The madonna staff wasn't particularly friendly -- and when they gave travel advice, you couldn't help feeling like they were scamming you."
983,"Stayed at the Hotel Madonna, ideal location to see the real Delhi. It is a clean and safe hotel by Delhi standards and the food was acceptable. Try the marsala omelette which is very tasty."
984,A decent Delhi hotel at a reasonable price. Near the Metro (5-10 minute walk) so accessible to much of Delhi. In a lively neighborhood with shopping opportunities all around.
985,Found this hotel through contact at Delhi airport and what a wonderful experience it turned out to be. Rooms were very comfortable and service excellent. We were also able to avail ourselves of the excellent service of Naresh Bhatia in organising a driver toshow us the sights of Delhi and a tour of Agra and Rajasthan.
986,"Hotel Madonna was a good size, bright, and most importantly clean. We also had airconditning, fridge and International TV channels. Staff were always friendly and nothing was ever too much trouble."
987,"The hotel room itself seemed clean and bug free, although the sheets were very stained. The bathroom smelt rather musty, although again itdid look quite clean. Both toilet paper and towels were both in shortsupply, with just one handtowel supplied (on one occassion this clearly hadn't been changed as it was dirty and wet!),"
988,"The hotel in general is clean, the restaurant underground does have an odor. The location is not too bad, 4 blocks away from subway/metro station. Keep in mind that the metro/subway itself doesn't cover much of Delhi."
989,"A very good hotel in Delhi, with clean rooms,excellent service, friendly and helpful staff. The hotel manager, Mr. Bathia was so friendly top arrange for usn a wo9nderful trip to Agra Pushkar and Jaipur."
990,"The bed was uncomfortable, the bathroom was fairly grungy. They do have an internet connection, but speeds are at 1992 levels. They threw in free breakfast (mediocre) and set up a driver for the day."
991,"I was in Delhi last year, my first time in India. I was a little bit afraid going alone but when I arrived at the aerport a guy from the hotel was waiting for me. The hotel is located near the metro, so very usefull to see the city. I'm going back in a few months, can't wait!"
992,"One year ago I was taled about the hotel, last year I came to Delhi and stayed in this hotle. The hotel hostility was really wonderful and I decided to come back with my wife. India will be our second home after Ethiopia."
993,"Delhi is a hard place to get accomodations under $100 that are reasonable. Hotel Madonna is not so bad, at $81 including taxes and breakfast. Not the cleanest hotel we ever stayed in."
994,"The room was clean, but very basic, and my bathroom had a direct opening to the outside. During the night when I got up to use the bathroom, there was a *bird* inside my bathroom - nearly scared the life out of me!"
995,Hotel is an autorickshaw ride away from the centre (3-4km) and with no real restaurant alternative in the imediate vicinity. The rooms were clean and well equiped with modern matching furniture. The food is okay and reasonably priced.
996,The hotel was good but the restaurant was of poor standard every time you entered it smelt really bad. If you do visit delhi be aware of profit making scandles your guide and taxi driver are usually in to make some money.
997,"Service was excellent and the owner, Naresh, was very helpful. Location is by Karol Bagh station, which is convenient to get to various places. Room was very clean, but if you can you should try and get a room in the back."
998,"There is a lack of mid-range hotels in India. The Madonna is a fair attempt at a mid range option. Pleasant enough rooms, free (but slooow) Internet, complementary breakfast and the possibility of walking to a metro station are positives."
999,Stayed here for a total of three nights and didn't really have much say on where I stayed as it was booked as part of a package. I couldn't agree more with the second to last reviewer especially with regard to the moth balls. The bathroom suite was black and the bath itself was peeling and a bit of a safety hazard.
1000,"JP Bed &amp; Breakfast Hotel in Karol Bagh is adjacent to the Mehar Castle. All new, with relatively generous, classy, ensuite rooms, tiled flooring and modern style furniture."
1001,"The hotel is in the main shopping area of Karol Bagh. It's not the safest area to start out in, but you can get good bargains, and it's close to the metro. They offer free internet but it's really slow."
1002,"Hotel provides good hospitality..we were provided with a family room which had two double beds..which was perfect for my wife and my two children. Good service,good food.."
1003,"Hotel is within about 5 minutes' walk to Karol Bagh metro station. Not spotlessly clean maybe, but quite decent. Hard mattresses, aircon working but wouldn't set to heating."
1004,"The staff is friendly, the rooms were clean and well decoated with a big L.C.D. Bathrooms were neat and hot water in the showers is available. The price they take is also not exorbitant."
1005,"The hotel provided a very uneven experience al round. The staff who actually did the work were lovely - but the management were dreadful. After a huge row they transferred us to a scruffier sister property, closer to the market."
1006,We were particularly happy with the convenient and central location Metro Heights had to offer us in delhi near the metro sation connecting to all parts of delhi. The staff was proffessional and friendly.
1007,We booked the hotel through the website which looked quite attractive and were promised a pickup from airport. Next morning we went to the restaurant serving breakfast somewhere down it was good set up and decent enough considering it was in the package as complimentary. Part of our stay was that the hotel was clean and safe for family.
1008,The Metro Heights is a basic hotel in the Karol Bagh area of Delhi. The staff were either indifferent to the needs and requests of their clients. The breakfast was a tired-looking buffet.
1009,Hotel Metro Heights was fine but not great value for money. Staff were largely unhelpful and the included breakfast left a lot to be desired. If you shop around I'm sure you could get a lot more for your money.
1010,"Most rooms are mere cupboards with a bed, with no windows. Staff-sideentrance is open at all times, so no security at all on all floors. Linen is dirty, the breakfastroom is disgusting as is the breakfast."
1011,The hotel rooms appear dark and uninviting. There are many hotels in Karol Bagh so just go to one of the others and check out the rooms.
1012,"We were disappointed in the take it or leave it attitude which is becoming more prevalent in New Delhi. We chose not to support this behavior by staying here again, and we moved next door to the Hotel Singh Sahib."
1013,"23 days in India at various hotels, but this was the worst. Staff are unfriendly, and un co-operative, especially towards females. Only stay here if you must or if it is part of you tour package."
1014,The ambience of a budget hotel but not a price to match. Staff delivered a service akin to that of Faulty Towers. Request for an extra bed in the room took a couple of hours.
1015,"Metro Heights is sort of best-you-can-get in the lower price range (up to $ 75) in Delhi. It is simple, has dark rooms (the one we had did not even have windows) and especially on the ground floor you hear a lot of noise from the reception."
1016,"Hotel Metro Heights, in Karolbagh, Delhi was our base in Delhi during our 3 week trip to India. The rooms are okay. The overall service is just poor and they have to be pushed real hard to get anything done. Warm water is not hot water, a concept that this hotel just did not understand."
1017,The hotel is decently priced and closer to the main shopping strip in Karol Bagh. Being a few blocks away ensures that the road noise is minimal. The service has been better than other hotels.
1018,"We chose this place to be near the train station as we flew in at midnight and needed to catch a 7am train. The room was small but he A/c worked and the twin beds were clean and not too hard. The shower was not totally clean, but for our 5 hours, it was fine."
1019,"Mohan International hotel is located in an alleyway in the centre of Delhi. The room was a good size, but even if the sheets and pillowcases had been cleaned, they certainly didn't look it. The area is very noisy at night, with staff shouting and music playing."
1020,We stayed at the Hotel Mohan International this month for one night. Although the room was very basic it was clean. I would recommend this hotel for travellers on a budget as it was cheap.
1021,"The hotel is very noisy, and the free &quot;breakfast was pretty disgusting. The guy who worked the front desk was horrendous. When I tried to book a taxi to the airport, he tried to charge me double what we paid on our way in."
1022,Stayed here for 3 days having booked on Expedia. It must have been decades since this hotel was last refurbished. Noiseof buzzers (for people calling from their room) and voices through thelate evening and early the next morning make it very difficult.
1023,Avoid this place - you may have seen in advertised on the STA website but I would guess that STA have not stayed here. It is a very basic hotel and the cleanliness leaves a lot to be desired. We paid 15 UK pounds per night as we wanted our first few nights accomodation sorted out before we arrived.
1024,"Rooms are reasonable, but the staff is horrible. Manager kept stalking me on the hotelroom phone about tours he wanted to sell. Staff didn't let me out of the hotel alone but were almost agressively pushy about arranging a city-tour."
1025,"What a scam. There are atleast 50 other similar hotels around this one and you don't need to book this online. If you are looking for this price range, simply get off the train at the main station, walk around."
1026,"Hotel Club is absolutely LYING about their location indicating that they are located at Connaught Place where several five star hotels are located. In fact, this place is located at the MAIN TRAIN STATION area which is a full 8 minutes by TAXI and quite a dangerous area even in the daytime. The price charged by Hotel Club (20 euros night) is OUTRAGEOUS for Delhi for a hotel of this type and shameful considering the condition."
1027,"We ebooked in advance and arranged a car to meet us at the airport, a very good tip as you WILL be ripped off by taxi drivers. Mohan is easy to find as it is directly behind the sheila cinema. Do not use the inhouse travel agent for taxi tours or car booking. We chose to use the ajanta hotels (200m away), even then we were advised to book from the company directly."
1028,"The room was horrible, the bathroom was filthy - i did not wash while i was there, we arrived to find cigarette butts in the toilet, sheets where dirty, We also saw several cockroaches (although this isnt exactlyt unusual in Delhi) The tipping point came when we could hear buzzing in the room which we though to be the electricity or fan, so after turning them on and off afew times we were stumped as to what it could be; went to go back to sleep picked up my pillow to reveal 2 huge cockroach underneath it."
1029,"Dirty bathroom, fan was so loud that we cant sleep, dirty bed-clothes. We paid for pick up from airport and driver didnt want to show us where the hotel is without a big tip."
1030,"Hotel Namaskar has just 2 pluses: first - its really cheap (480 rupees per room for four people) Second - has great location. Was really hot, fans were not enough, our room didnt have windows, bathrooms are owful."
1031,"The airport pickup worked perfectly for the price of quite expensive 700Rps. The rooms were budget, no hot water, accordingly not perfectly clean rooms. The biggest issue was the extremely loud A/C."
1032,"I stayed at the Hotel Namaskar when I first arrived in India on the 25th January. The staff were very friendly, the young Nepalese boys were great, and the other counter staff could not have been more helpful. The owner is a little intimidating, but once you get used to him he is actually quite nice."
1033,"Good location close to New Delhi train station, friendly staff, 1 hot shower available if you ask, very basic rooms, bit run down. Personally I would pay extra Rs150 for a room with private bathroom, hot showers, new, clean &amp; comfortable at Hotel Gush or Rak International."
1034,"I stayed at Hotel Namaskar after reading some reviews on a website that claimed it was a good deal and it was clean. Upon entry into the room, both of the sheets covering the mattress had blood stains on them. When I asked about a good restaurant in the area, I was told that they would get me the food and deliver it to my room. When they returned, they did not provide me with change or a receipt."
1035,"We booked the hotel for its price and reccomendation of guidebooks. The area of Paharganj is not the best in Delhi, so if you want anything remotely fancy don't stay here."
1036,"The hotel is located in the Paharganj, in an alley just off the main market street. It is walking distance to the metro (Rama Krishna Ashram Marg station), and one metro stop away from Connaught Place."
1037,This Hotel Namaskar is the first on top of the budget hotel list. The problem of accomodation being recommended by Lonely Planet is that the hotel will tend to be over booked or over popular.
1038,"Basic hotel in the Main Bazaar area. Rooms are cheap, relatively clean but very basic. Staff and especially the two brothers are extremely helpful."
1039,"I spent 3 nights in Namaskar hotel. The people of the hotel can take you from the airport, even during the night, for 400 rupies (8 euros) They can keep some of your luggage (even a computer) a few weeks until you come back. It is really near main bazar street."
1040,Location is midst of Karol bagh the populated area of Old Delhi. Room was very good though no balcony. Bathroom has new jacuuzi but it was not that effective and was malfunctioning.
1041,"i went to Delhi for a tour with my family consisting of 3 members. We had actually booked rooms in an other hotel but we reached late at nite coz of the big traffic block in delhi. The bed spread , linens etc were so untidy and had a foul smell. The rooms were so dark and we couldnt differentiate between nite and day."
1042,I reserved a superior room for one night through the Venere travel agency. When I arrived at the hotel at 2:00A.M.after the 20 hour trip from New York City I was told the hotel was filled and could not stay there. An Iranian Tour operator was also having a problem with arrangements that had been made months before.
1043,"I'm working in India for a couple of weeks and decided to visit Delhi. BCDTravel from India booked the hotel. The place is just terrible. The rooms are very dirty, smells, i even found 10 empty bottles of beer in front of my room when i arrived."
1044,i booked my hotel from the website and i made the payment from ther and i wa scared that the hotel is good enough or not. When i reached the hotel it was like i have paid nothing for the hotel. One difficulty i experienced that was i was that tv cabel was not working for 2 hour or so.
1045,"I should have known when I arrived this place was into fleecing people. I tipped the guy who carried my bags. Later, he hunted me down because the bill was 'ripped' The hotel staff honestly seem to think I owe them a booking on some overpriced tour."
1046,"Hotel was full of damp linen. Check In system was horrible. I left the next morning since it was late in the night and staying in a neighbouring much cheaper, but much cleaner hotel."
1047,Stayed there for a week. Great service. Awesome staff! Rooms are 5 star standard. Definitely you will get value for money. I will strongly recommend.
1048,We stayed only one night and our room was close to the reception. All the noise from the hall way and reception could clearly be heard in our room all night. Try to get a room far away from the reception and/or wear earplugs.
1049,"Staff areexcellent and very helpful, whilst the attached restaurant has excellent food and service. Rooms are variable in size but well appointed for us. Only trouble with the hotel is that there is no lounge area for friends to meet."
1050,"Greeting was pleasant, room was small but clean and well appointed. Restaurant was excellent. Location was so central for that part of Delhi."
1051,The staff were very attentive and our room was exceptionally clean. It was also quiet which was great as it was daylight when we finally got to sleep. The hotel was also kind enough to store one of our bags for a week.
1052,Hotel Palace Heights in New Delhi has a high rating on TripAdvisor. We booked the hotel through hotels.com (expedia.in) through which we booked this hotel for 2 nights. Our booking confirmation from hotels .com came through and my husband's credit card was charged the full amount. We arrived at the front desk of the hotel palace heights at 10 pm at night to be met with bewilderment. They saw our booking confirmation and said that they had not received any booking. They said that it must have been hotels. com's fault as they had NOT RECEIVED ANY BOOKING! We were left in a dilemma as to where to spend the night. We eventually did manage to find an overpriced and badly located hotel later that night but our trip had been ruined by our experience.
1053,"The rooms inside are great, with a modern and clean decor, flat panel TV, and a lovely bathroom. The location is perfectly central, there are loads of shops, restaurants, and ATMs when you step out of the hotel. The food in the restaurant, Zaffran, is wonderful, and the service in there is also exemplary."
1054,"Location is perfect and rooms were very clean and comfortable. Bathroom was immaculate. Restaurant is also fabulous. Free wireless Internet service. Parking on the streets, free of charge."
1055,"The Hotel is very central. The room we had was clean and we were able to sleep 3 in the room. It is an expensive hotel, but worth it for the restaurant and its central position."
1056,Great location right in the heart of Connaught Place and close to the metro station. Restaurant is great at both breakfast and dinner (some of the best food I've ever had in India) Rooms are well appointed and confortable.
1057,We stayed for 3 nights in late June and then for one night in early July. The hotel was modern and very clean. The AC worked very well and it was a good escape from the very hot temps outside. Rooms were on the small side and there isn't much of a lobby.
1058,"I stayed end of august (29.08.09) in this hotel in Delhi - and it was simply perfect!!! You can't ask for a nicer, welcoming service. Connaught place is in the very heart of Delhi, the rooms are comfortable, have European standard."
1059,"Palace Heights is a quiet oasis in the heart of Delhi, with clean rooms furnished in a contemporary design style. The restaurant is one of the best I tried in India, cozy and relaxing."
1060,We could hear incessant banging in the first TWO rooms they put us in. They also pressured us into using their travel agent for a tour to the Taj Mahal. The car and driver was over priced and had barely working A/C.
1061,"We stayed two nights at Hotel Palace Height. The hotel is expensive for the size of the room &amp; bathroom. On our first night we had no hot water, but the hotel staff fixed that quickly."
1062,"The hotel is small, but very well kept, and clean. The food in Zaffran is excellent... the breakfast is to order, and always prepared very well. The location of the hotel is superb. Right above the Metro station which makes traveling around Delhi a breeze."
1063,"We stayed at the hotel on two separate occassions. The food and service was one of the best we had in India. We paid $183.00 Cdn through Expedia, not good value."
1064,"The service was excellent, particularly in the restaurant. The rooms are very modern and the bathroom had a good shower. Breakfast is included with the rate and has a good choice and decent buffet."
1065,"The hotel is better than an 'average 3*' rating. The service was good and the rooms are clean, if a little on the small side. The restaurant (attached to the hotel) called Zaffran was very good."
1066,"This was the third hotel we stayed in during our to-ing and fro-ing to Delhi. It was the cheapest (£98 per room per night inc breakfast), the nicest and the best placed hotel of the lot. The staff were great and very helpful. The room was lovely, clean and well equipped."
1067,The hotel is located on the inner circle of connaught place and is on the second floor. Its a small property having 15-18 rooms only. There is a restaurant called Zafran which serves great Indian food and is also a popular among the locals.
1068,"We stayed for two nights at the palace heights and would definately recommend it. The room we stayed in was clean and with all the amenities you would expect, if a little small. The restaurant is excellent at a reasonable price."
1069,Hotel Palace Heights is a Delhi oasis. The rooms are exceptionally clean and well thought out. The restaurant is also great and serves fanatastic food from North India.
1070,"The hotel is small but great, in a very central location. The rooms were fantastic, I can't fault anything wrong with the rooms. The hotel restaurant was also great - I highly recommend it."
1071,"The hotel is in a great location, smack bang in the middle of the shopping area. Breakfast in the Restaurant was lovely - choice of indian, continental or english. This was one of the better hotels we stayed in on our trip."
1072,"This was my second stay at palace heights, and it was just as great as the first one! This is definitely one hotel I would recommend people stay at, everytime you visit delhi. They have an excellent restaurant attached, and althou living in the UAE gives you access to great indian food. Their room service is even more fab, with meals reaching in 10mins!"
1073,Hotel Restaurant Zaffran is located on Connaucht Place. Spacious bedroom and bathroom. Furnishings all-round elegant and in good condition.
1074,The Palace Heights is located on Connaught Square in Delhi. The hotel is on the first floor (there is a lift) which means the rooms are quiet.
1075,"I'm so glad that I had chance to stay in Palace Heights. Palace Heights is an example of successful adaptive re-used building. The location is just perfect, in the center of CP and just a minute walk to fabIndia."
1076,"The hotel is located in a good part of New Delhi, a short walk from shops and parks. The staff are extremely helpful and friendly, rooms are very clean and modern. The restaurant is excellent."
1077,"The staff is extremely friendly and helpful, with good recommendations for restaurants in the area. The included fruits, water and breakfast help you get your day off to a good start easily."
1078,The Palace Heights was a real haven away from the bustle of Connaught Place. The food in the Zaffran restaurant was really good and service was also excellent.
1079,"The hotel has been renovated recently and now offers business-style, clean and tidy rooms with spacious beds and a fine bathroom. The restaurant at the hotel offers very good food, the elevated prices (compared to other options outside the hotel) are worth it."
1080,"Stayed at the hotel for a business trip, the rooms were lovely and the staff extremely helpful. Will definitely be staying there for my next trip to Delhi! Highly recommended."
1081,"We stayed here for two nights after arriving in Delhi from the US. Check-in was smooth and though our room was a bit small, it was very comfortable. Breakfast in the hotel was good and very convenient."
1082,"Hotel Palace Heights in Connuaght Place is located in central Delhi. Hotel Palace Heights has a long list of wines, cocktails and all kinds of alcohols being served."
1083,"The hotel is located in the heart of the city (Connaught Place) It is a bit expensive, but you are paying for the location. It is definately cheaper than other hotels around the area."
1084,"The Palace Heights is probably one of the best hotels in Delhi in the moderate price range. The location, rooms, service are great and the restaurant is fantastic."
1085,"North Indian restaurant with 24 hour room service. Central location and good value. No noise from street. Good facilities in room (plasma TV, large bathroom)"
1086,I've booked this hotel via Desiya an Indian website and got a good price. I was a bit concerned as I was going over with my small fella and the wife. It has been a wonderful experience - breakfast was brilliant as they had continental as well as Indian Poori Bhaji which was delicious! As my wife was indisposed for 3 days they made hot chapatis to take into the room and my son enjoyed his cereals. I had my Beer &amp; dinner all days at the hotel and the service was attentive.
1087,"Small hotel in the centre of New Delhi, is close to everything. Recently renovated and although the rooms are small, it has good service, it is clean and quiet (unlike the rest of India). has aircondition (but no heating)."
1088,Hotel Palace Heights is a superb boutique hotel in the heart of Delhi. Exceptional service and friendly staff had us staying at this quiet hotel twice this summer. Spotless rooms and central location.
1089,"Stayed here for a few days arriving in India, and then again one night before shipping back to Europe. The staff is extraordinarily friendly, and the rooms are clean with comfortable beds and have good modern amenities. The only drawback is the lack of pool / SPA."
1090,"The room itself is has a flat screen TV, snacks of fruit and bottled water at no extra charge. Room service is great and it's offered 24 hours a day. The bathroom had beautiful floor to ceiling marble, the shower was large and there was a good supply of hot water."
1091,I stayed in the hotel for two nights &amp; had both the dinners here. The food in the restaurant- Zaffran was really blessings to the tastebuds.
1092,"The room is so small, you feel clostrophobic. The aircondition only has icy cold or really hot. The reception is 20 years old, and have the combined intelligence of a 10 year old. Do not budget travel in Delhi."
1093,"The hotel is located on the second floor of a period building overlooking Connaught Place. The room is clean, functional and 'modern', with mock wooden floors and minimalist furniture, decorations and bathroom. Breakfast was included in the room rate and you can have it either in the restaurant or delivered to your room."
1094,"We stayed 4 nights in this nice hotel very welll located, clean , staff is very nice and helpfull at the reception and in the hotel restaurant The Saffran. They give you every day 2 bottles of water and fruits , newspaper in the morning and on arrival they serve you juice. It is not expensive for New Delhi do not hesitate to book ."
1095,"Just great. Very well located in Connaught Place, great rooms, nice furnished and modern decoration, flat screen tv, nice bathrooms, nice restaurant, very friendly staff. I'll be back."
1096,"The dinner and breakfast room was nice, and the staff very friendly. This is an hotel in the center of Delhi, near the Indian and international shops."
1097,"The restaraunt, Zaffron, is the best thing about this hotel. The menu is great and the prices are about $15 per meal."
1098,"Location: at the heart of the city. you can never ask for a better location.Rooms, Staff, Service, Reception: ExcellentBreakfast: Complimentry and excellent choice of menu."
1099,"Small with 14 rooms, but excellently managed. No queues for check-in or check out as there are only 14 rooms. 24 hour room service @ no extra charge. Good air con / heating .Thick fabric window blinds keep sunlight out."
1100,"I shared a room with two friends. The manager confirmed via email that we would have the room for six nights before we paid our deposit. On arrival they told us we will only have a room for three nights. The rooms are well furnished as expected for the price that they charge, and service is prompt."
1101,"No one met us on arrival at IGIA to take us to the hotel, even though we had previously booked the transfer and re-confirmed prior to arrival. The hotel claims someone was there, and we just didn't see him. Complimentary wi-fi access in the rooms worked perfectly."
1102,"stayed 1 night, extremely helpful staff, clean modern room, good restaurant, a sanctuary in the middle of delhi, very near excellent metro system station."
1103,The staff are friendly and alway willing to help you. The rooms are fitted with a plasma screen tv and mini bar. There is also a railway near by.
1104,This is a really good hotel to arrive to in delhi. Staff were very nice even though there were too many knocks on the door for one thing or another. Clean and comfortable but the towels were old and grey!
1105,The Hotel Palace Heights is certaintly excellent value for a stay in central Delhi. Full of nice touches - complimentary fruit bowl &amp; chocolates on arrival - the best hotel soaps and lotions I have ever used. The rooms *are* small (as is the hotel) so I would not book for an extended stay.
1106,The Palace Heights was recently re-furbished in preparation for the 2010 Commonwealth Games. The restaurant was packed with locals which is always a huge recommendation. The hotel fits the bill for those not wanting to pay 5 star Delhi prices.
1107,"Hotel Palace Heights is in the heart of Connaught Place. The attached restaurant, Zaffran, is delicious. The food is safe and clean and really excellent. The service matches the food and decor."
1108,"This hotel is in Connaught Place, section D. Room was small but had everything you needed, reminded me of a Marriott hotel back home. Plasma TV on wall, coffee &amp; tea facilities."
1109,Hotel Palace Heights in New Delhi was recommended by Lonely Planet. Double room cost 5500Rs + 12.5% tax including breakfast. Service was reasonable without being fabulous.
1110,Hotel Palace Heights is a great hotel in a great situation in Delhi. Staff were lovely and the level of service was amazing. The room was small but very nicely furnished although there were no views.
1111,"Staff were very friendly, courteous and attentive throughout my 2 night stay. The room was not particularly large, but had a big bed, flat screen tv, and immaculate marble bathroom with large shower. The restaurant is also excellent, serving very tasty and good value Indian food."
1112,Palace heights is an excellent hotel at a great location. Close to the metro from where you can explore the whole city. Rooms are clean and everything works.
1113,This Hotel is located in CP in Delhi. Simply VOW... I think its a boutique hotel. Room rent was around Rs 4500/= for single room.
1114,Stayed here with friends as a hub in and out of New Delhi. Hotel arranged car service to/from the int'l airport and to the Taj Mahal the next morning.
1115,"This place is perfect if you are interested in keeping the costs down, while also enjoying a clean and safe room. The frinedly and pleasant staff fulfilled all our requests, and they arranged drivers, and guides who took us to the Taj M."
1116,"My boyfriend, two friends, and I stayed at this hotel for two nights. Vishal from the Pearl Plaza was by far the most responsive. The hotel was very clean and the staff was very helpful."
1117,"Located in Paharganj, metro station (Rama Krishna) is 2min walk, plenty of dirt and beggars. New Delhi railway station is super close and a ride with a rickshaw should be no more than 40-50 rupees."
1118,"We stayed at Pearl Plaza in Paharganj, Delhi for 2 nights in the middle of May 2009. Here is a summary of our impressions from the Pearl Plaza."
1119,"I was travelling with a group of friends and we decided to stay at this place. Big mistake. We booked far in advance, but they managed to book us one room to few. The rooms were dirty, pokey and noisy."
1120,"Location is good. It's quite close to the metro and it's very close to a nice shopping street. Rooftop restaurant is nice, they serve food that's quite ok."
1121,"Not a good place to stay! The room was dirty, the bathtub was stained and they use moth balls in the sinks which end up smelling up the entire room. Service was really weird. There are much nicer neighbourhoods in Delhi - don't stay here!"
1122,"Location is good, close to a lot of shopping and the metro station. The staff were extremely helpful, the porters and reception staff were able to help us with any of our questions. The rooms were clean and comfortable."
1123,"The hotel was booked by a travel agent and for the price they charged, I expected much much better. The floor was dirty, bathrooms were wet..i was disgusted. Dont know about food and restarant quality as I decided not to eat there after I saw the rooms."
1124,"Staff were delightful and helpful. Room was OK, not dirty. Did not use the restaurant so can't comment on it. Do not use this hotel if you are looking for luxury!!"
1125,"Food was not up to our expectations, but ok ( since this is a budget hotel). Rooms were clean &amp; tidy enough. Bathroom was clean and ok. Remember to bring bottled water along with you."
1126,Don't go to this hotel people they will try to rip you off after you've seen how dirty and cheap the rooms are. They have one suite and they put these photos on the net.Absolute misguidance.
1127,"Strang, strange hotel. Far from perfect..Booked by a travel agent through this tour we did. By far the worst hotel I have ever stayed in."
1128,"It was perfect. nice room, cheap price, and especially the staffs. we will definitely stay in this Hotel Prince International again. It was perfect, nice room and cheap price."
1129,Decided to try this place after reading the two previous positive reviews which I am suspicious of their origin as our experience was not great. Our room smelt like a sewer and was right next to the noisy lift shaft which kept going all night. Our bed was damp which in Feb is not great as it is cold. You are at the mercy of this hotel once you arrive so be careful.
1130,"Comfortable, well priced, and very clean. Nice staff, and a good internet connection. They even pickup from the airport. Would stay here again."
1131,"Hotel Prince International is located near the Karol Bagh Market. It is close to several nice restaurants like Alpha Spice, Raffles (great thali) and Crossroads."
1132,"I stayed at the hotel on two ends of a trip to Nepal and India in August to early September. I found the room clean and comfortable and, as a single woman traveler, felt very safe there. Its location off the main street meant it wasn't as noisy as some."
1133,"I visited their hotel and chosen super deluxe, I went to shop in Paharganj. When i back and saw that my expensive camera was lost. I asked the Manager to call the police but they denied to Call and miss behaved with me."
1134,The hotel itself is fairly grotty and basic. We mainly chose it for the location near the station and the pool. Both of which turned out to be extremely dirty and horrible. Didn't feel at all safe.
1135,"Prince Polonia is on a quiet street (quiet by India standards) but only seconds from all the hustle and bustle you need. The rooms are clean, large and quiet (worth paying a little extra for the deluxe, try room 401 on the roof top)"
1136,The hotel is central and the staff are helpful. The room we had was OK only but the rooftop restaurant was a bonus. The street was not quiet when we stayed there so I'd pack earplugs just in case!
1137,"We chose Hotel Prince Polonia for its close proximity to the New Delhi train station, its affordable rates and the good reviews it got from Lonely Planet authors and other travellers. The only thing that bothered us was that they never returned our passports to our room as promised."
1138,"The rooms were clean, the location central, the majority of the staff helpful and the food palatable. The manager (the son of the owner I believe) is a miserable git to the extreme and has a habit of speaking to his staff as though they are scum. If you're going to stay here make sure you spend a little more and get a better room."
1139,"I made the reservation by email and called to confirm before I traveled. The staff was helpful, they let us check in early since the room was ready. It was a little pricy compared to the rest of the hotels in the area, but it was clean."
1140,Hotel was ranked so high on trip advisor I thought I'd give it a try. The room itself was not clean. Broken wall fixtures. Dirty bathrooms. Piles of dirt and dust behind and under the bed didn't make me feel safe to let my young kids play.
1141,"This place was clean and the staff were helpful. Rooms are basic biut comfy with a tv and air con. The rooftop Restaurant is lovely, breakfast is included in the price."
1142,"Had a super deluxe room, which was comfortable and quiet enough for a good sleep and it's pretty spacious. Staff were mostly helpful, except for one missing wake-up call, so as the attached travel agent."
1143,Delhi hotels are generally pretty expensive and Parharganj is about the cheapest area to stay in. It's also very handy for New Delhi railway station when you want to move on.
1144,"Hotel was just fine, no problems, room was clean&amp; bright, staff were courteous. Maybe a little expensive but it's a good idea to have somewhere like this booked before arriving in delhi."
1145,"The Hotel RAK International has a roof-top restaurant staffed by ethnic (Asiatic) Nepalese who answer to the cool reception dude with the moustache. For a fraction of the restaurant price, I suggest you wander down Main Bazaar rd and sample the foods that the locals come for such as fresh lassi and samosa’s."
